"","SYS_NAME","CWX-C","CWX-D","COLLECTTIME"
"1","财务管理系统",34270787.33,80262592.65,"2014/10/1"
"2","财务管理系统",34328899.02,83200151.65,"2014/10/2"
"3","财务管理系统",34327553.5,83208320,"2014/10/3"
"4","财务管理系统",34288672.21,83099271.65,"2014/10/4"
"5","财务管理系统",34190978.41,82765171.65,"2014/10/5"
"6","财务管理系统",34187614.43,82522895,"2014/10/6"
"7","财务管理系统",34285280.22,82590885,"2014/10/7"
"8","财务管理系统",34290578.41,82368173.3,"2014/10/8"
"9","财务管理系统",33211870.4,82172263.3,"2014/10/9"
"10","财务管理系统",33249253.87,81922685,"2014/10/10"
"11","财务管理系统",33253832.53,84844722.95,"2014/10/11"
"12","财务管理系统",34328058.03,84769868.9,"2014/10/12"
"13","财务管理系统",34328674.8,84558703.4,"2014/10/13"
"14","财务管理系统",34234933.61,84207166.8,"2014/10/14"
"15","财务管理系统",34022726.41,84042911.9,"2014/10/15"
"16","财务管理系统",35016309.47,84129516.15,"2014/10/16"
"17","财务管理系统",34981412.82,83877754.85,"2014/10/17"
"18","财务管理系统",34828871.38,83887520.4,"2014/10/18"
"19","财务管理系统",34832868.75,83538509.75,"2014/10/19"
"20","财务管理系统",34843372.75,86483653,"2014/10/20"
"21","财务管理系统",34847749.42,82496743.3,"2014/10/21"
"22","财务管理系统",34829775.93,82300356.65,"2014/10/22"
"23","财务管理系统",34824290.49,82130251.65,"2014/10/23"
"24","财务管理系统",34827149.93,84844587.65,"2014/10/24"
"25","财务管理系统",34820088.89,84845444.65,"2014/10/25"
"26","财务管理系统",34776030.47,84684911.05,"2014/10/26"
"27","财务管理系统",34667722.51,84500606.35,"2014/10/27"
"28","财务管理系统",35705011.09,84145461.25,"2014/10/28"
"29","财务管理系统",35594215.37,84172525.1,"2014/10/29"
"30","财务管理系统",35411287.07,83957818.7,"2014/10/30"
"31","财务管理系统",35389055.02,83684789.75,"2014/10/31"
"32","财务管理系统",35385076.36,86485366.95,"2014/11/1"
"33","财务管理系统",35462038.02,86454023.45,"2014/11/2"
"34","财务管理系统",35486821.33,86127041.7,"2014/11/3"
"35","财务管理系统",35471088.77,86161390.4,"2014/11/4"
"36","财务管理系统",35547564.55,85938933.9,"2014/11/5"
"37","财务管理系统",35606941.11,85645056.5,"2014/11/6"
"38","财务管理系统",35546714.13,85272926.05,"2014/11/7"
"39","财务管理系统",35510966.73,88110097.75,"2014/11/8"
"40","财务管理系统",35491498.51,88128626.65,"2014/11/9"
"41","财务管理系统",35601990.55,88075997.75,"2014/11/10"
"42","财务管理系统",35687972.6,87753526.65,"2014/11/11"
"43","财务管理系统",35704312.58,87249335.55,"2014/11/12"
"44","财务管理系统",35704980.73,86986142.2,"2014/11/13"
"45","财务管理系统",34570385.45,86678240,"2014/11/14"
"46","财务管理系统",34673820.69,89766600,"2014/11/15"
"47","财务管理系统",34793245.31,89377527.25,"2014/11/16"
